case_id,case_title,seq_case_id
117,You waive your right to a class action.,0
118,You waive your moral rights,1
119,Your feedback is invited regarding changes to the terms.,2
120,Critical changes to the terms are made without user involvement,3
121," Terms may be changed any time at their discretion, without notice to you ",4
122,"The terms may be changed at any time, but you will receive notification of the changes",5
123,"When the service wants to change its terms, you are notified a week or more in advance.",6
124,"When the service wants to make a material change to its terms, you are notified at least 30 days in advance",7
125,Only temporary session cookies are used,8
126,First-party cookies are used,9
127,"Third party cookies are employed, but with opt out instructions",10
128,Third-party cookies are used for advertising,11
129,This service tracks you on other websites,12
130,A license is kept on user-generated content even after you close your account,13
131,Content is published under a free license instead of a bilateral one,14
134,Your content can be licensed to third parties,15
135,Copyright license limited for the purposes of that same service but transferable and sublicenseable,16
136,The copyright license that you grant this service is limited to the parties that make up the service's broader platform.,17
138,Instructions are provided on how to submit a copyright claim,18
139,Your content can be distributed through any media known now or in the future,19
140,You can retrieve an archive of your data,20
143,This service is only available for use individually and non-commercially.,21
144,"Other applicable rules, terms, conditions or guidelines",22
145,You agree to indemnify and hold the service harmless in case of a claim related to your use of the service,23
146,"You agree to defend, indemnify, and hold the service harmless in case of a claim related to your use of the service",24
147,"Defend, indemnify, hold harmless; survives termination",25
148,You are responsible for maintaining the security of your account and for the activities on your account,26
149,Any liability on behalf of the service is only limited to the fees you paid as a user,27
150,"Spidering, crawling, or accessing the site through any automated means is not allowed",28
151,You have a reduced time period to take legal action against the service,29
152,This service is only available to users over a certain age,30
154,This service cannot be held responsible for disputes that you may have with other users,31
155,"If you are the target of a copyright holder's take down notice, this service gives you the opportunity to defend yourself",32
156,"Per the service's terms, you may not express negative opinions about them",33
157,Your use is throttled,34
158,Accessibility to this service is guaranteed at 99% or more,35
159,You will be notified about website maintenance,36
160,No guarantee is given regarding quality,37
161,You are entitled to a refund if certain thresholds or standards are not met by the service,38
162,The service has a no refund policy,39
163,The court of law governing the terms is in location X,40
164,Your personal data may be disclosed to comply with government requests without notice to you,41
165,The service promises to inform and/or notify you regarding government inquiries that may involve your personal data,42
166,This service shares your personal data with third parties that are not essential to its operation,43
167,Third parties are not allowed to access your personal information without a legal basis,44
170,You have the right to leave this service at any time,45
171,Features of the website are made available under a free software license,46
173,This service retains rights to your content even after you stop using your account,47
174,This service holds onto content that you've deleted,48
175,You can delete your content from this service,49
176,Only necessary logs are kept by the service to ensure quality,50
177,Logs are deleted after a finite period of time,51
178,Logs are kept for an undefined period of time,52
180,This service can use your content for all their existing and future services,53
182,"If you offer suggestions to the service, they become the owner of the ideas that you give them",54
183,You maintain ownership of your content,55
185,Your personal information is used for many different purposes,56
186,This service assumes no liability for unauthorized access to your personal information,57
187,Your data may be processed and stored anywhere in the world,58
188,This service gives your personal data to third parties involved in its operation,59
189,Your private content may be accessed by people working for the service,60
190,Your personal data is aggregated into statistics,61
191,Only aggregate data is given to third parties,62
192,IP addresses of website visitors are not tracked,63
193,Your personal data is not sold,64
195,"You can request access, correction and/or deletion of your data",65
196,Your personal data is used for limited purposes,66
197,Archives of their agreements are provided so that changes can be viewed over time,67
198,The terms for this service are translated into different languages,68
199,The terms for this service are easy to read,69
200,Separate policies are employed for different parts of the service,70
201,Your account can be deleted without prior notice and without a reason,71
202,Specific content can be deleted without reason and may be removed without prior notice,72
203,They may stop providing the service at any time,73
204,User suspension from the service will be fair and proportionate.,74
205,Your account can be suspended for several reasons,75
206,30 days of notice are given before closing your account,76
207,Third parties are involved in operating the service,77
208,Many third parties are involved in operating the service,78
209,You are warned of the potential consequences related to third-party access,79
210,Third parties used by the service are bound by confidentiality obligations,80
211,Extra data may be collected about you through promotions,81
213,"You are not allowed to use pseudonyms, as trust and transparency between users regarding their identities is relevant to the service.",82
214,"You must provide your legal name, pseudonyms are not allowed",83
215, Pseudonyms are allowed,84
216,Your personal data is used for advertising,85
217,Tracking pixels are used in service-to-user communication,86
218,You are not being tracked,87
219,You can opt out of targeted advertising,88
220,Your personal data is used to employ targeted third-party advertising,89
222,You can choose the copyright license,90
223,You can opt out of promotional communications,91
224,You cannot opt out of promotional communications,92
225,You can choose with whom you share content,93
226,Information is provided about security practices,94
227,Information is provided about how your personal data is used,95
228,Information is provided about what kind of information they collect,96
229,You cannot distribute or disclose your account to third parties,97
230,You must create an account to use this service,98
231,You are informed about the risk of publishing personal info online,99
232,A free help desk is provided,100
233,Do Not Track (DNT) headers are ignored and you are tracked anyway even if you set this header.,101
234,They store data on you even if you did not interact with the service,102
237,You agree to comply with the law of the service's country,103
239,Private messages can be read,104
241,The court of law governing the terms is in a jurisdiction that is friendlier to user privacy protection.,105
242,The court of law governing the terms is in a jurisdiction that is less friendly to user privacy protection.,106
243,Your personal data may be sold or otherwise transferred as part of a bankruptcy proceeding or other type of financial transaction,107
276,The service can intervene in user disputes,108
277,"Conditions may change, but your continued acceptance is not inferred from an earlier acceptance",109
278,The service is not responsible for linked or (clearly) quoted content from third-party content providers,110
279,This service assumes no responsibility and liability for the contents of links to other websites,111
280,You agree not to use the service for illegal purposes,112
281,"You are prohibited from sending chain letters, junk mail, spam or any unsolicited messages",113
283,"You agree not to submit libelous, harassing or threatening content",114
284,You are prohibited from attempting to gain unauthorized access to other computer systems,115
285,You shall not interfere with another person's enjoyment of the service,116
286,The service is provided 'as is' and to be used at your sole risk,117
287,"The service provider makes no warranty regarding uninterrupted, timely, secure or error-free service",118
288,The service does not guarantee accuracy or reliability of the information provided,119
289,The service does not guarantee that software errors will be corrected,120
290,This service does not guarantee that it or the products obtained through it meet your expectations or requirements,121
291,"You are responsible for any risks, damages, or losses that may incur by downloading materials",122
292,This service does not condone any ideas contained in its user-generated contents,123
293,This service assumes no liability for any losses or damages resulting from any matter relating to the service,124
294,Invalidity of any portion of the Terms of Service does not entail invalidity of its remainder,125
295,Failure to enforce any provision of the Terms of Service does not constitute a waiver of such provision,126
296,Your information is only shared with third parties when given specific consent,127
297,Information is provided about how they collect personal data,128
298,You can access most of the pages on the service's website without revealing any personal information,129
299,The service informs you that its privacy policy does not apply to third party websites,130
300,A complaint mechanism is provided for the handling of personal data,131
301,The service reviews its privacy policy on a regular basis,132
302,Personal information that is shared outside its jurisdiction is processed according to the original jurisdiction’s data protection standards,133
303,The data retention period is kept to the minimum necessary for fulfilling its purposes,134
304,"The service may keep a secure, anonymized record of your data for analytical purposes even after the data retention period",135
305,The service will resist legal requests for your information where reasonably possible,136
306, A list of all cookies set by the website is provided,137
307, You are being tracked via social media cookies/pixels,138
310,"If you are the target of a copyright claim, your content may be removed",139
311,Your personal data is not shared with third parties,140
312,Two factor authentication is provided for your account,141
313,User accounts can be terminated after having been in breach of the terms of service repeatedly,142
314,You are prohibited from posting content which promotes violence or politically or religiously extremist values.,143
315,The posting of pornographic content is prohibited,144
316,Political discussions or campaining are prohibited,145
319,Users who have been permanently banned from this service are not allowed to re-register under a new account,146
320,No need to register,147
321,Promises will be kept after a merger or acquisition,148
322,App required for this service requires broad device permissions,149
323,"You are tracked via web beacons, tracking pixels, browser fingerprinting, and/or device fingerprinting",150
324,Alternative accounts are not allowed,151
325,Third-party cookies are used for statistics,152
326,Your profile is combined across various products,153
327,Your identity is used in ads that are shown to other users,154
328,Usernames can be rejected or changed for any reason,155
329,"You should revisit the terms periodically, although in case of material changes, the service will notify",156
331,There is a date of the last update of the agreements,157
332,"This service offers a symbolic but nonbinding statement about a matter of opinion, ethics, society, or politics",158
333,Some personal data may be kept for business interests or legal obligations,159
334,The service explains how to prevent disclosure of personal information to third parties,160
335,You aren’t forced into binding arbitration in case of disputes,161
336,Your personal data may be used for marketing purposes,162
337,You can opt out of providing personal information to third parties,163
338,You can limit how your information is used by third-parties and the service,164
339,You are forced into binding arbitration in case of disputes,165
372,"User-generated content is encrypted, and this service cannot decrypt it",166
373,"This service may collect, use, and share location data",167
374,The cookies used by this service do not contain information that would personally identify you,168
375,Blocking first party cookies may limit your ability to use the service,169
376,Many different types of personal data are collected,170
377,Your content can be deleted if you violate the terms,171
379,User-generated content can be blocked or censored for any reason,172
381,No third-party analytics or tracking platforms are used,173
382,Information is gathered about you through third parties,174
383,Your browser's Do Not Track (DNT) headers are respected,175
384,You authorise the service to charge a credit card supplied on re-occurring basis,176
385,Tracking cookies refused will not limit your ability to use the service,177
387,This service tracks which web page referred you to it,178
388,You are allowed to quote their content with attribution,179
390,"If you offer suggestions to the service, they may use that without your approval or compensation, but they do not become the owner",180
391,You will be notified if personal data has been affected by data breaches,181
392,"This service does not collect, use, or share location data",182
393,The service will only respond to government requests that are reasonable,183
394,"You cannot delete your contributions, but it makes sense for this service",184
395,Your browsing history can be viewed by the service,185
396,Your Personal data may be sold unless you opt out,186
397,Your biometric data is collected,187
398,This service has a no refund policy with some exceptions,188
399,"Your IP address is collected, which can be used to view your approximate location",189
400,This service receives your precise location through GPS coordinates,190
402,The service has non-exclusive use of your content,191
403,"Instead of asking directly, this Service will assume your consent merely from your usage.",192
404,This Service provides a list of Third Parties involved in its operation.,193
405,An anonymous payment method is offered,194
406,An onion site accessible over Tor is provided,195
407,Content you post may be edited by the service for any reason,196
408,This service informs you that its Terms of Service does not apply to third party websites,197
409,You must provide your identifiable information,198
411,Your data is processed and stored in a country that is less friendly to user privacy protection,199
444,The publishing of personally identifiable information without the owner’s consent is not allowed,200
445,Harming minors in any ways is prohibited,201
478,This service still tracks you even if you opted out from tracking,202
480,Your personal data will not be used for an automated decision-making,203
481,The service claims to be GDPR compliant for European users,204
482,The service claims to be CCPA compliant for California users,205
483,The service claims to be LGPD compliant for Brazilian users,206
484,You must report to the service any unauthorized use of your account or any breach of security,207
485,The service is open-source,208
486,Minors must have the authorization of their legal guardians to use the service,209
487,Sensitive data is collected and shared to target advertising,210
488,Your data is processed and stored in a country that is friendlier to user privacy protection,211
489,Voice data is collected and shared with third-parties,212
490, The service is only available in some countries approved by its government,213
492,Your provided identifiable information is actively checked by the service,214
493,This service is a subsidiary of Company X,215
497,"Prices and fees may be changed at any time, without notice to you",216
499,The service suspends your account after inactivity for a certain or uncertain time,217
